Randersgade,Slangerupgade,Frederiksberg Alle,Koldinggade,C. F. Richsvej,Horsensgade,Trondhjemsgade,Østerbrogade,Hørsholmsgade,Oehlenschlægergade,Jagtvej,Vodroffsvej,Mariendalsvej,Nyelandsvej,timestamp,date,week
345.0,573.0,30.0,389.0,432.0,707.0,395.0,355.0,,,,,,,1685490915,2023-05-30,22
366.0,629.0,74.0,399.0,414.0,483.0,431.0,372.0,515.0,666.0,688.0,,,,1686628010,2023-06-12,24
349.0,626.0,82.0,370.0,399.0,687.0,419.0,456.0,471.0,632.0,655.0,,,,1687734928,2023-06-25,25
349.0,627.0,83.0,370.0,399.0,689.0,458.0,353.0,472.0,636.0,656.0,,,,1687793170,2023-06-26,26
1172.0,615.0,81.0,356.0,425.0,698.0,409.0,452.0,455.0,598.0,638.0,,,,1688303090,2023-07-02,26
304.0,501.0,85.0,315.0,399.0,587.0,383.0,307.0,386.0,524.0,541.0,,,,1689173947,2023-07-12,28
310.0,510.0,89.0,319.0,372.0,594.0,405.0,311.0,386.0,528.0,551.0,,,,1689425102,2023-07-15,28
285.0,459.0,82.0,291.0,347.0,560.0,360.0,376.0,359.0,474.0,495.0,,,,1689941467,2023-07-21,29
295.0,484.0,84.0,304.0,355.0,574.0,393.0,285.0,372.0,500.0,517.0,,,,1690465988,2023-07-27,30
287.0,500.0,83.0,289.0,343.0,379.0,372.0,279.0,375.0,502.0,513.0,,,,1691401161,2023-08-07,32
302.0,528.0,94.0,306.0,351.0,395.0,386.0,292.0,396.0,525.0,539.0,,,,1691998902,2023-08-14,33
308.0,518.0,99.0,306.0,347.0,589.0,379.0,397.0,391.0,516.0,536.0,,,,1692647680,2023-08-21,34
273.0,470.0,89.0,280.0,305.0,541.0,344.0,363.0,354.0,476.0,496.0,,,,1693228795,2023-08-28,35
278.0,496.0,,292.0,323.0,559.0,370.0,280.0,371.0,487.0,522.0,,,,1694032303,2023-09-06,36
265.0,463.0,,286.0,317.0,537.0,360.0,273.0,350.0,468.0,488.0,,,,1694455817,2023-09-11,37
265.0,456.0,,288.0,362.0,520.0,344.0,273.0,346.0,466.0,484.0,,,,1695052194,2023-09-18,38
193.0,379.0,,216.0,280.0,426.0,292.0,174.0,277.0,366.0,402.0,,,,1696356682,2023-10-03,40
211.0,392.0,,239.0,302.0,464.0,288.0,320.0,299.0,395.0,424.0,,,,1697044784,2023-10-11,41
695.0,375.0,,139.0,589.0,358.0,277.0,188.0,506.0,372.0,408.0,,,,1697479911,2023-10-16,42
679.0,355.0,,133.0,567.0,559.0,354.0,184.0,486.0,356.0,394.0,,,,1698091983,2023-10-23,43
635.0,335.0,,128.0,559.0,541.0,330.0,181.0,423.0,341.0,379.0,,,,1698674466,2023-10-30,44
664.0,325.0,,127.0,562.0,354.0,296.0,196.0,453.0,366.0,401.0,,,,1699903209,2023-11-13,46
618.0,293.0,,106.0,513.0,543.0,331.0,183.0,426.0,563.0,368.0,,,,1700676525,2023-11-22,47
599.0,288.0,,103.0,454.0,529.0,324.0,172.0,416.0,553.0,358.0,,,,1701107880,2023-11-27,48
545.0,276.0,,106.0,590.0,523.0,313.0,171.0,402.0,535.0,352.0,226.0,241.0,313.0,1702049717,2023-12-08,49
556.0,279.0,,110.0,594.0,529.0,314.0,174.0,406.0,534.0,357.0,227.0,244.0,317.0,1702304063,2023-12-11,50
,,,,,,,,,,,,,,1702936904,2023-12-18,51
529.0,259.0,,102.0,579.0,508.0,298.0,168.0,386.0,514.0,324.0,224.0,241.0,307.0,1704180780,2024-01-02,1
534.0,263.0,,107.0,565.0,519.0,271.0,302.0,389.0,518.0,337.0,226.0,240.0,317.0,1704703696,2024-01-08,2
476.0,210.0,,86.0,504.0,473.0,248.0,279.0,345.0,456.0,295.0,153.0,210.0,273.0,1705304604,2024-01-15,3
491.0,222.0,,487.0,500.0,492.0,256.0,280.0,360.0,486.0,354.0,154.0,189.0,277.0,1705933349,2024-01-22,4
